COD_ACIDENTE;DATA;HORA;NATUREZA;SEVERIDADE;LOG1;LOG2;NUMERO_REFERENCIA;BAIRRO;JURISDICAO;LATITUDE;LONGITUDE;TIPOCRUZAMENTO;CONTROLETRAFEGO;LOCAL;ILUMINAÇÃO;TEMPO;SUPERFÍCIE DA PISTA;PRIMEIRA FONTE;AMCBO;SAMU;PECOFE;PRF;PRE;SIM
ZGE9852;2024-07-16;20:35:32;Queda;Ferido;Avenida Presidente Costa e Silva;;Não informado;Prefeito Jose Walter;Não informado;-3.8240497807566056;-38.5479002282307;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407160802;;;;
JBZ4219;2024-07-17;17:42:14;Queda;Ferido;Joao Brigido;;1015;Joaquim Tavora;;-3.7411147;-38.5141644;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407170675;;;;
EVE9789;2024-07-18;18:29:32;Queda;Ferido;Rua Soares Bulcão;;340;MONTE CASTELO;Municipal;-3.7317778959186043;-38.55392989755721;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;EVE9789;2407180688;;;;
CAP2193;2024-07-18;19:49:27;Colisão;Ferido;Avenida G;;51;Conjunto Ceara;Não informado;-3.7729482;-38.6116526;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407180736;;;;
YJE7943;2024-07-19;01:21:44;Queda;Ferido;Jaguaretama;;123;Aldeota;;-3.73696;-38.5156256;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407190039;;;;
SLR8692;2024-07-20;10:36:23;Queda;Ferido;Ataulfo Alves;;724;Jardim Das Oliveiras;;-3.7866626;-38.4981653;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407200277;;;;
OOQ1298;2024-07-20;14:56:31;Colisão;Ferido;Vicente Paraibano;;707;Serrinha;;-3.7929587;-38.5392722;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407200468;;;;
TVA1809;2024-07-20;21:18:53;Queda;Ferido;Rua José Dantas Pereira;;Não informado;Canindezinho;Não informado;-3.822475148222684;-38.60776320534887;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407200847;;;;
ZSF2191;2024-07-20;21:19:48;Queda;Ferido;Quatro [ Jardim Castelao ];;80;Passare;;-3.8264768;-38.5293671;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407200848;;;;
GJC7077;2024-07-21;07:56:53;Queda;Ferido;Zuca Accioly;;430;Cidade 2000;;-3.7488092;-38.4662716;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407210219;;;;
YPW6304;2024-07-21;12:13:07;Queda;Ferido;Barao De Studart 1864;Barbara De Alencar;Cruzamento;Aldeota;;-3.7397169;-38.5084435;Cruzamento;;Não informado;;Não informado;;SAMU;;2407210437;;;;
FEU4924;2024-07-21;17:39:28;Queda;Ferido;Washignton Soares Esq;Rua Albert Sabin;Cruzamento;Edson Queiroz;;-3.7581902;-38.4902196;Cruzamento;;Não informado;;Não informado;;SAMU;;2407210761;;;;
RHV5988;2024-07-22;12:19:01;Queda;Ferido;Vitoria  ( Mesma Av. Perimetral );;739;Henrique Jorge;;-3.7913572;-38.587578;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407220443;;;;
NES2721;2024-07-22;18:43:53;Atropelamento;Ferido;Alberto Magno;Alvaro Fernandes;Cruzamento;Montese;;-3.7642469;-38.549427;Cruzamento;;Não informado;;Não informado;;SAMU;;2407220811;;;;
FEP9843;2024-07-23;00:05:43;Queda;Ferido;Rua F;;43;Parangaba;Não informado;-3.776271263937116;-38.556066336476086;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407230006;;;;
MZD3669;2024-07-23;11:01:52;Colisão;Ferido;Rua Joao Ribeiro;;141;Alvaro Weyne;;-3.7182736;-38.5674008;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407230348;;;;
TWW4718;2024-07-24;09:00:07;Atropelamento;Ferido;Avenida Beira Mar;;Não informado;Meireles;Não informado;-3.7257771134335065;-38.496633921209266;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2407240195;;;;
DSI8399;2024-07-24;10:26:16;Colisão;Ferido;Coronel Joao De Oliveira;;870;Messejana;;-3.8229702;-38.4870147;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407240252;;;;
JXJ2753;2024-07-24;13:08:34;Queda;Ferido;Rua Desembargador Praxedes;;1510;Parreao;;-3.7635819;-38.5411847;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407240401;;;;
HKK1927;2024-07-24;17:25:29;Queda;Ferido;Osorio De Paiva;;4144;Siqueira;;-3.7950768;-38.5928043;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407240595;;;;
ABZ7679;2024-07-24;18:10:04;Queda;Ferido;Coronel Fabriciano - Esquina - Aires Da Cunha;;1548;Granja Portugal;;0.0;0.0;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2407240644;;;;
LYJ2860;2024-07-24;20:01:43;Queda;Ferido;Independencia;Emilio Gonçalves;Cruzamento;Quintino Cunha;;-3.725453;-38.5960561;Cruzamento;;Não informado;;Não informado;;SAMU;;2407240755;;;;
