COD_ACIDENTE;VEÍCULO;TIPO VEÍCULO;MARCA;ANO FABRICAÇÃO;COR;ESPÉCIE;CATEGORIA;ALUGUEL;LEGALIZADO;DANIFICADO;MANOBRA;VIA DE ACESSO
VRV6829;.1;Automóvel;VW FOX;2020;VERMELHA;Passageiro;Particular;Não Se Aplica;Não informado;Danificado;;Avenida Padre Antônio Tomás
VRV6829;.2;Bicicleta;SKY;;LARANJA;Passageiro;Particular;Não Se Aplica;Não informado;Danificado;;AV SEN VIRGILIO TAVORA
ECB1876;.1;Bicicleta;;;;;;;Não informado;;;
ECB1876;.2;Automóvel;;;;;;;Não informado;;;
OIM7721;.1;Bicicleta;;;;;;;Não informado;;;
OIM7721;.2;Automóvel;;;;;;;Não informado;;;
DUJ7284;.1;Bicicleta;;;;;;;Não informado;;;
GBF6302;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
GBF6302;.2;Automóvel;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
NVA3165;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
RYR0101;.1;Bicicleta;;;;;;;Não informado;;;
OCJ3880;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
WCO5828;.1;Bicicleta;;;;;;;Não informado;;;
AXS3285;.1;Bicicleta;;;;;;;Não informado;;;
YHD0099;.1;Bicicleta;;;;;;;Não informado;;;
RUR0806;.1;Bicicleta;;;;;;;Não informado;;;
RUR0806;.2;Automóvel;;;;;;;Não informado;;;
DDA8546;.1;Bicicleta;;;;;;;Não informado;;;
YRN6768;.1;Bicicleta;;;;;;;Não informado;;;
YRN6768;.2;Automóvel;;;;;;;Não informado;;;
MST4835;.1;Bicicleta;;;;Não informado;Não informado;Não informado;Não informado;Não informado;;Não informado
ZQT9921;.1;Bicicleta;;;;;;;Não informado;;;
ZTD5249;.1;Bicicleta;;;;;;;Não informado;;;
ZTD5249;.2;Automóvel;;;;;;;Não informado;;;
BYP0007;.1;Bicicleta;;;;;;;Não informado;;;
BYP0007;.2;Automóvel;;;;;;;Não informado;;;
