COD_ACIDENTE;VIA;NOME;SINALIZAÇÃO HORIZONTAL;SINALIZAÇÃO VERTICAL;ALINHAMENTO HORIZONTAL;ALINHAMENTO VERTICAL;OBRA DE ARTE;OBRAS NA PISTA;TIPO DA PISTA;TIPO DO PAVIMENTO;FAIXA PARA SENTIDO;CONDIÇÃO DA PISTA;CONDIÇÃO DA CALÇADA;SEPARAÇÃO CENTRAL
APB2464;1;Tupi;;;;;;;;;;;;
PWG5637;1;Olimpio Leite;;;;;;;;;;;;
NSW2840;1;Domingos Olimpio;;;;;;;;;;;;
MCD1076;1;Professor  Heraclito;;;;;;;;;;;;
RSH2401;1;Mister Hull;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
QFP3299;1;Cidade Rio Branco;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
JYM3483;1;Julio Silva;;;;;;;;;;;;
PCM5175;1;Emilio De Menezes;;;;;;;;;;;;
EGG7566;1;Av. Rui Barbosa;;;;;;;;;;;;
EGG7566;2;Barbara De Alencar;;;;;;;;;;;;
UFB5342;1;Doutor Theberge;;;;;;;;;;;;
UFB5342;2;Avenida Francisco Sa;;;;;;;;;;;;
JRP4009;1;Olegario Memoria;;;;;;;;;;;;
DXA4805;1;A;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
JYJ5790;1;Rua Rio Grande Do Sul;;;;;;;;;;;;
JYJ5790;2;Paraiba;;;;;;;;;;;;
XEE5284;1;General Osorio Ide Paiva;;;;;;;;;;;;
ASK6124;1;Rua Coronel Matos Dourado;;;;;;;;;;;;
EWR1622;1;Bernardo Manuel;;;;;;;;;;;;
PYE0008;1;Deputado Paulino Rocha [Cond. Morada Dos Bosques];;;;;;;;;;;;
GLY6927;1;Barao Do Rio Branco;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ARM0426;1;Rua Francisco Matias- Casa 10;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
FXJ6909;1;Barao Do Rio Branco;;;;;;;;;;;;
ANM9603;1;Conego  De  Castro;;;;;;;;;;;;
ZYU7659;1;L;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
CPR2866;1;Avenida Val Paraíso;Visibilidade ruim;Visibilidade ruim;Curvo;Plano;Não informado;Não informado;Dupla;Asfalto;Não informado;Boa;Não informado;Canteiro elevado
TLR6783;1;Rua Jose Avelino;;;;;;;;;;;;
ANJ7416;1;Humberto Monte;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
TEZ6158;1;Maestro Lisboa;;;;;;;;;;;;
RMC3706;1;Avenida Jose Jatahy;;;;;;;;;;;;
ZVV7788;1;Rua Júlio Braga;Bom estado;Bom estado;Reto;Plano;Não informado;Não há;Dupla;Asfalto;Uma;Boa;Boa;Pintura
EZP2019;1;Rua Dom Jerônimo;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Não informado;Asfalto;Duas;Boa;Boa;Não há
EZP2019;2;AV DOMINGOS OLIMPIO;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Simples;Asfalto;Duas;Boa;Boa;Não há
VKI1319;1;Presidente Costa E Silva;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ZVX4466;1;Monsenhor Sabino Feijão;;;;;;;;;;;;
WRA3576;1;Avenida Lineu Machado;;;;;;;;;;;;
VGS5663;1;Rua Professor Jacinto Botelho;;;;;;;;;;;;
EEP2545;1;428;;;;;;;;;;;;
SNX9807;1;RUA ROMEU MARTINS;Bom estado;Bom estado;Não informado;Plano;Não há;Não há;Simples;Asfalto;Uma;Boa;Boa;Não há
SNX9807;2;RUA EUZEBIO DE QUEIROS;Não informado;Não informado;Não informado;Plano;Não há;Não há;Simples;Asfalto;Uma;Boa;Boa;Não há
YSS7364;1;Dona Lucia Pinheiro;;;;;;;;;;;;
CTC5461;1;Rua Alfredo Mamede;;;;;;;;;;;;
AJF4274;1;Senador Fernandes Tavora;;;;;;;;;;;;
YFR4691;1;1044;;;;;;;;;;;;
FGP1837;1;Senador Carlos Jereissati;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
IGC1481;1;Rua Rio Grande Do Norte;;;;;;;;;;;;
IGC1481;2;Americo Barreira;;;;;;;;;;;;
NQG7268;1;Urucutuba;;;;;;;;;;;;
HDA5240;1;Sargento Joao Pinheiro;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
RCP5519;1;BR 116 KM 13;;;;;;;;;;;;
ATB2348;1;Washington Soares;;;;;;;;;;;;
JWF7829;1;856;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
AAL6926;1;Lauro Nogueira Esq.;;;;;;;;;;;;
AAL6926;2;Rua Drº Batista De Oliveira;;;;;;;;;;;;
IHN0084;1;Rua Itatiaia;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
HBX8226;1;Miguel Gurgel;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
RBY8436;1;Antonino De Castro;;;;;;;;;;;;
RBY8436;2;Rua Chico Lemos;;;;;;;;;;;;
MLF6504;1;Eduardo Salgado;;;;;;;;;;;;
MLF6504;2;Carlos Vasconcelos;;;;;;;;;;;;
YKZ3186;1;Avenida Washington Soares;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Dupla;Asfalto;Três;Não informado;Não informado;Não informado
OWE8337;1;Whashington Soares;;;;;;;;;;;;
WBD1711;1;Fernandes Benevides;;;;;;;;;;;;
IBA8900;1;Beira Mar  Esquina;;;;;;;;;;;;
IBA8900;2;Ru Joao Cordeiro;;;;;;;;;;;;
IPC8919;1;Avenida Val Paraíso;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Asfalto;Não informado;Não informado;Não informado;Não informado
OYB6850;1;Paulino Rocha;;;;;;;;;;;;
PNJ9797;1;A C\ Rua 731;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
SSA0664;1;Avenida Santos Dumont;;;;;;;;;;;;
JAD2857;1;Leon Gradvol;;;;;;;;;;;;
KAY3627;1;Padre Rodolfo;;;;;;;;;;;;
VEC7701;1;Monsenhor Bruno;;;;;;;;;;;;
RDT3711;1;Osorio De Paiva;;;;;;;;;;;;
MNH5885;1;Rua Fausto Cabral;;;;;;;;;;;;
TUV9622;1;Nicolau Coelho;;;;;;;;;;;;
GVR0427;1;Washington Soares;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
INW6342;1;Av. Val Paraiso;;;;;;;;;;;;
INW6342;2;Conj. Sitio Sao Joao;;;;;;;;;;;;
HBG4231;1;Conselheiro Lafaiete;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
XBX1584;1;Maestro Lisboa;;;;;;;;;;;;
XBX1584;2;Avenida Odilon Guimaraes  [];;;;;;;;;;;;
KRB8491;1;Vital Brasil;;;;;;;;;;;;
IFF1338;1;Contorno;;;;;;;;;;;;
ROT8601;1;Fernanda Barbara De Alencar;;;;;;;;;;;;
JHX8382;1;Avenida Joao Pessoa;;;;;;;;;;;;
LKG2421;1;Beira Mar;;;;;;;;;;;;
FWK0192;1;Rua Alameda Das Mrgueridas - Quadra 21;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
HZW2172;1;Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
CHD1624;1;RUA SILVIA JATAHY;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
CHD1624;2;RUA NUNES VALENTE;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
TGQ7382;1;Sao Lazaro;;;;;;;;;;;;
BPF3161;1;Desembargador Gonzaga;;;;;;;;;;;;
YVC1768;1;Avenida Godofredo Maciel;;;;;;;;;;;;
UKU0175;1;Avenida Godofredo Maciel;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
DWC2332;1;Osorio De Piava;;;;;;;;;;;;
CEB9069;1;Osorio De Paiva;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
IHB0578;1;Nogueira Acioli;;;;;;;;;;;;
OEF9253;1;General Sampaio;;;;;;;;;;;;
RFC7434;1;Travessa Da Graviola;;;;;;;;;;;;
LHN0249;1;Rio Claro;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
