COD_ACIDENTE;VIA;NOME;SINALIZAÇÃO HORIZONTAL;SINALIZAÇÃO VERTICAL;ALINHAMENTO HORIZONTAL;ALINHAMENTO VERTICAL;OBRA DE ARTE;OBRAS NA PISTA;TIPO DA PISTA;TIPO DO PAVIMENTO;FAIXA PARA SENTIDO;CONDIÇÃO DA PISTA;CONDIÇÃO DA CALÇADA;SEPARAÇÃO CENTRAL
ARK4857;1;Antonio Sales;;;;;;;;;;;;
KIS4795;1;Rua Duarte Coelho;;;;;;;;;;;;
QOT8404;1;Senador Fernandes Tavora;;;;;;;;;;;;
ZZK8544;1;AV GAL OSORIO DE PAIVA;Visibilidade ruim;Bom estado;Reto;Plano;Não há;Não há;Não informado;Asfalto;Duas;Boa;Má;Pintura
ZZK8544;2;RUA ARARIPE PRATA;Visibilidade ruim;Bom estado;Reto;Plano;Não há;Não há;Não informado;Asfalto;Duas;Boa;Boa;Não informado
PFN1663;1;Senador Fernandes Tavora;;;;;;;;;;;;
QUS1093;1;Avenida  Evilacio Almeida De Miranda;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ORZ1419;1;CE 010;;;;;;;;;;;;
PDN4523;1;Padre Antonio Tomas;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
NBL5662;1;Avenida Governador Raul Barbosa;Bom estado;Bom estado;Reto;Plano;Não informado;Não informado;Dupla;Asfalto;Não informado;Boa;Não informado;Pintura
ZRX7240;1;Barra Nova;;;;;;;;;;;;
ZRX7240;2;Avenida Jose Leon;;;;;;;;;;;;
HBY4703;1;Leste Oeste C\ Avenida Doutor Theberge;;;;;;;;;;;;
FJV0965;1;Rua Capitao Melo;;;;;;;;;;;;
JDP6504;1;Joseleide Alves;;;;;;;;;;;;
IWU2070;1;4° Anel Viario - Em Cima Do Viaduto;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
VBL2937;1;Rua Álef de Souza Cavalcante;Não há;Bom estado;Reto;Plano;Não há;Não há;Dupla;Asfalto;Duas;Boa;Boa;Canteiro elevado
VBL2937;2;AV CASTELO DE CASTRO;Não há;Bom estado;Interseção;Plano;Não há;Não há;Simples;Asfalto;Uma;Boa;Boa;Não há
MCE1166;1;Rua Coronel Virgilio Nogueira - De 1402 Ao Fim - Lado Par;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ERF1879;1;Rio Doce;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
BWZ3510;1;Avenida Beira Mar;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
IMZ2138;1;Rua Canuto De Aguiar;;;;;;;;;;;;
IMZ2138;2;Joaquim Nambuco;;;;;;;;;;;;
XOQ4086;1;Rua Romeu Martins;;;;;;;;;;;;
XOQ4086;2;Almirante Rubinho;;;;;;;;;;;;
IES5345;1;Doutor Fernando Augusto;;;;;;;;;;;;
WSX2357;1;Einstein;;;;;;;;;;;;
PYU8638;1;BR 116 KM 15;;;;;;;;;;;;
NZW2089;1;Avenida Monsenhor Tabosa;Bom estado;Bom estado;Reto;Plano;Não há;Não há;Simples;Asfalto;Não informado;Boa;Boa;Não há
JIP5472;1;Rua Dom Expedito Lopes;Bom estado;Bom estado;Interseção;Plano;Não informado;Não informado;Simples;Asfalto;Não informado;Boa;Não informado;Não há
JIP5472;2;Rua Tibúrcio Cavalcante;Bom estado;Bom estado;Interseção;Plano;Não informado;Não informado;Simples;Asfalto;Não informado;Boa;Não informado;Não há
SRU7746;1;Rua Joao Cordeiro -;;;;;;;;;;;;
BGC2335;1;Avenida I Terceira Etapa;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
LPN3060;1;Rua Coronel Virgilio Nogueira;;;;;;;;;;;;
HQS8865;1;Avenida Domngos Olimpio;;;;;;;;;;;;
RMH3964;1;Beira Mar;;;;;;;;;;;;
EVS0068;1;15;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
VRV6829;1;Avenida Padre Antônio Tomás;Condição ruim;Bom estado;Reto;Plano;Não há;Não há;Dupla;Asfalto;Duas;Boa;Boa;Canteiro elevado
VRV6829;2;AV SEN VIRGILIO TAVORA;Condição ruim;Bom estado;Reto;Plano;Não há;Não há;Dupla;Asfalto;Duas;Boa;Boa;Canteiro elevado
ECB1876;1;Avenida Governador Raul Barbosa;;;;;;;;;;;;
ECB1876;2;Murilo Borges;;;;;;;;;;;;
OIM7721;1;F;;;;;;;;;;;;
OIM7721;2;Av. C;;;;;;;;;;;;
DUJ7284;1;Conego De Castro;;;;;;;;;;;;
GBF6302;1;Dioguinho;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
GBF6302;2;Bairro-Praia Do Futuro;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
NVA3165;1;Washington Soares;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
RYR0101;1;Barao De Studart;;;;;;;;;;;;
OCJ3880;1;Jose Dantas Pereira;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
WCO5828;1;General Osorio De Paiva;;;;;;;;;;;;
AXS3285;1;Rua Jardel Lima Dos Santos;;;;;;;;;;;;
YHD0099;1;Rua Coronel Virgilio Nogueira;;;;;;;;;;;;
RUR0806;1;Rua Jorge Dumar -;;;;;;;;;;;;
DDA8546;1;Rua Pedro Martins;;;;;;;;;;;;
YRN6768;1;Rua Consul Gouveia;;;;;;;;;;;;
MST4835;1;101;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
ZQT9921;1;L Esquina;;;;;;;;;;;;
ZQT9921;2;Avenida B;;;;;;;;;;;;
ZTD5249;1;Bernardo Manuel;;;;;;;;;;;;
BYP0007;1;BR 116 KM ?;;;;;;;;;;;;
LGM2022;1;Coelho Neto;;;;;;;;;;;;
YBN4899;1;Pedro De Alcantara E Silva;;;;;;;;;;;;
CLK8059;1;Washington Soares;;;;;;;;;;;;
CLK8059;2;Edilson Brasil Soares;;;;;;;;;;;;
CUN5759;1;Coronel Fabriaciano;;;;;;;;;;;;
LQD2041;1;Duque De Caxias;;;;;;;;;;;;
CUZ7252;1;Sao Bernardo;;;;;;;;;;;;
CUZ7252;2;Dona Mendinha;;;;;;;;;;;;
KYA8749;1;Antonio Sales - Dias Da Rocha;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
SKI2203;1;Av. Pres. Costa E Silva;;;;;;;;;;;;
FIA2954;1;Av.Mozar Lucena;;;;;;;;;;;;
ZTZ4351;1;Gregorio França;;;;;;;;;;;;
WBO3816;1;L;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
NKR6901;1;Domingos Olimpio;;;;;;;;;;;;
NKR6901;2;Aguanambi;;;;;;;;;;;;
GQF4924;1;Da Paz;;;;;;;;;;;;
FWV8916;1;Avenida Jose Mendonça;;;;;;;;;;;;
MUI1868;1;Conselheiro Tristão;;;;;;;;;;;;
LIY4015;1;Abolição;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado
WHH5598;1;Betel;;;;;;;;;;;;
XMW1428;1;Oscar Araripe;;;;;;;;;;;;
VET6740;1;Dois De Abril  - Castelão;;;;;;;;;;;;
NBX5958;1;Americo Rocha Lima;;;;;;;;;;;;
PEI4053;1;Rua B;;;;;;;;;;;;
TWY4246;1;Bernardo Manoel;;;;;;;;;;;;
HMQ5023;1;AV DOLOR BARREIRA;Bom estado;Bom estado;Reto;Rampa descendente;Não há;Não há;Dupla;Asfalto;Duas;Boa;Obstruída;Pintura
HMQ5023;2;RUA DEP FLAVIO MARCILIO;Bom estado;Bom estado;Interseção;Não informado;Não há;Não há;Dupla;Asfalto;Uma;Boa;Obstruída;Não informado
FDP4013;1;Professor Gomes De Matos;;;;;;;;;;;;
EGA5596;1;BR 116 KM 14;;;;;;;;;;;;
